epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,315.163,1.37895,3.15993,1.78654,1.40938,0,0.5914,0.4431,0.45849,0.2911,0.55998,0.40062,0.38743,0.18751,1.34861,2.66545,1.62865,1.35443,0,0.00998188,0.00332729,0.00998188,0.00332729,0.00998188,0.00332729,0.00998188,0.00332729
2,613.241,1.28174,2.82368,1.57035,1.32439,0,0.6159,0.45411,0.50045,0.32052,0.55268,0.42109,0.4252,0.21422,1.27767,2.48314,1.40636,1.29401,0,0.01985,0.00661667,0.01985,0.00661667,0.01985,0.00661667,0.01985,0.00661667
3,908.86,1.29841,2.78014,1.55218,1.31508,0,0.44996,0.27537,0.25723,0.14575,0.41942,0.24213,0.20885,0.09502,1.68434,3.29582,2.33367,1.64928,0,0.0295861,0.00986204,0.0295861,0.00986204,0.0295861,0.00986204,0.0295861,0.00986204
4,1203.74,1.31845,2.7679,1.54177,1.31771,0,0.54902,0.38389,0.4017,0.2489,0.50416,0.34867,0.33866,0.16179,1.44244,2.71562,1.81234,1.42452,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1491.58,1.3073,2.76588,1.49358,1.3097,0,0.61609,0.48184,0.51274,0.32779,0.58255,0.4365,0.44289,0.22746,1.27045,2.38784,1.37417,1.28894,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1785.06,1.27698,2.67234,1.43424,1.28252,0,0.66492,0.45907,0.52184,0.33691,0.61901,0.42737,0.45746,0.2303,1.25598,2.44002,1.34333,1.26001,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,2073.83,1.24604,2.61968,1.37843,1.26873,0,0.62662,0.44464,0.48324,0.30937,0.59442,0.39687,0.4075,0.2033,1.28451,2.50527,1.43279,1.3053,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,2360.1,1.22068,2.57428,1.3385,1.25384,0,0.66822,0.51002,0.55606,0.36932,0.63044,0.48118,0.49812,0.26893,1.16308,2.21376,1.22896,1.21081,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,2646.53,1.20871,2.55088,1.31515,1.23927,0,0.68414,0.50693,0.55631,0.36186,0.62739,0.45772,0.48244,0.25057,1.19177,2.32031,1.24266,1.22493,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,2931.93,1.2004,2.52615,1.29571,1.23729,0,0.66718,0.48716,0.54556,0.35691,0.61503,0.44908,0.46802,0.23825,1.18926,2.29984,1.25542,1.22044,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,3218.64,1.17846,2.47474,1.26501,1.22249,0,0.70086,0.53027,0.57399,0.37906,0.67169,0.48624,0.51123,0.27175,1.12896,2.17325,1.16772,1.17473,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,3510.43,1.16116,2.4664,1.24879,1.21302,0,0.66679,0.51053,0.56509,0.3837,0.65696,0.46181,0.50141,0.26532,1.12729,2.23466,1.20721,1.17686,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,3795.89,1.15524,2.43079,1.21377,1.20619,0,0.69124,0.512,0.56581,0.37367,0.67272,0.46907,0.51071,0.28025,1.14918,2.18065,1.16405,1.20112,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,4082.02,1.14975,2.44079,1.22059,1.20445,0,0.69149,0.52718,0.57948,0.38703,0.6565,0.49153,0.51623,0.27389,1.14719,2.20439,1.1425,1.18555,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,4369.42,1.13528,2.39423,1.19614,1.19488,0,0.71329,0.50627,0.57034,0.38872,0.66244,0.4661,0.48622,0.26651,1.10993,2.17393,1.14465,1.16928,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,4653.79,1.11312,2.35766,1.17096,1.18592,0,0.71919,0.51639,0.59349,0.40599,0.73456,0.46643,0.5333,0.29095,1.09154,2.13118,1.0539,1.16492,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,4939.55,1.1086,2.36124,1.16057,1.17893,0,0.74743,0.50319,0.5867,0.39761,0.70717,0.46951,0.51912,0.28432,1.11291,2.13639,1.08642,1.17664,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,5221.31,1.10307,2.341,1.15356,1.17853,0,0.71317,0.53088,0.59341,0.40682,0.69982,0.47724,0.53134,0.2968,1.08251,2.10008,1.06662,1.15285,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,5504.68,1.10373,2.30823,1.13979,1.17453,0,0.70443,0.54656,0.6025,0.41728,0.67176,0.51684,0.54641,0.30129,1.06313,2.08039,1.05471,1.14909,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
